


咪咕视频,#genre#
江苏国际,http://36.134.89.155:1234/626064674
江苏教育,http://36.134.89.155:1234/628008321
江苏影视,http://36.134.89.155:1234/626064697
江苏综艺,http://36.134.89.155:1234/626065193
公共新闻,http://36.134.89.155:1234/626064693
盐城新闻综合,http://36.134.89.155:1234/639731825
淮安新闻综合,http://36.134.89.155:1234/639731826
泰州新闻综合,http://36.134.89.155:1234/639731818
连云港新闻综合,http://36.134.89.155:1234/639731715
宿迁新闻综合,http://36.134.89.155:1234/639731832
徐州新闻综合,http://36.134.89.155:1234/639731747
优漫卡通,http://36.134.89.155:1234/626064703
江阴新闻综合,http://36.134.89.155:1234/955227979
南通新闻综合,http://36.134.89.155:1234/955227985
宜兴新闻综合,http://36.134.89.155:1234/955227996
溧水新闻综合,http://36.134.89.155:1234/639737327
陕西银龄,http://36.134.89.155:1234/956909362
陕西都市青春,http://36.134.89.155:1234/956909358
陕西秦腔,http://36.134.89.155:1234/956909303
陕西新闻资讯,http://36.134.89.155:1234/956909289
财富天下,http://36.134.89.155:1234/956923159
镇江新闻综合,http://36.134.89.155:1234/639731783
辽宁公共,http://36.134.89.155:1234/962045223
辽宁生活,http://36.134.89.155:1234/962045226
辽宁影视剧,http://36.134.89.155:1234/962067517
宁夏文旅,http://36.134.89.155:1234/962067523
宁夏经济,http://36.134.89.155:1234/962067520
经典香港电影,http://36.134.89.155:1234/625703337
抗战经典影片,http://36.134.89.155:1234/617432318
新片放映厅,http://36.134.89.155:1234/619495952
CHC影迷电影,http://36.134.89.155:1234/952383261
CHC动作电影,http://36.134.89.155:1234/644368714
CHC家庭影院,http://36.134.89.155:1234/644368373
和美乡途轮播台,http://36.134.89.155:1234/713591450
南方影视,http://36.134.89.155:1234/614961829
中国天气,http://36.134.89.155:1234/959986621
CETV1,http://36.134.89.155:1234/923287154
CETV2,http://36.134.89.155:1234/923287211
CETV4,http://36.134.89.155:1234/923287339
山东教育,http://36.134.89.155:1234/609154353
熊猫01高清,http://36.134.89.155:1234/609158151
熊猫1,http://36.134.89.155:1234/608933610
熊猫2,http://36.134.89.155:1234/608933640
熊猫3,http://36.134.89.155:1234/608934619
熊猫4,http://36.134.89.155:1234/608934721
熊猫5,http://36.134.89.155:1234/608935104
熊猫6,http://36.134.89.155:1234/608935797
熊猫7,http://36.134.89.155:1234/609169286
熊猫8,http://36.134.89.155:1234/609169287
熊猫9,http://36.134.89.155:1234/609169226
熊猫10,http://36.134.89.155:1234/609169285
最强综艺趴,http://36.134.89.155:1234/629942228
嘉佳卡通,http://36.134.89.155:1234/614952364
经典动画大集合,http://36.134.89.155:1234/629942219
新动漫,http://36.134.89.155:1234/961930269
新动力量创一流,http://36.134.89.155:1234/713589837
中华特产,http://36.134.89.155:1234/959986618
环球旅游,http://36.134.89.155:1234/958475356
茶,http://36.134.89.155:1234/961930369


武汉移动,#genre#
CCTV1,https://xmlive.zeabur.app/yw/whyd?id=cctv1
CCTV2,https://xmlive.zeabur.app/yw/whyd?id=cctv2
CCTV3,https://xmlive.zeabur.app/yw/whyd?id=cctv3
CCTV4,https://xmlive.zeabur.app/yw/whyd?id=cctv4
CCTV5,https://xmlive.zeabur.app/yw/whyd?id=cctv5
CCTV5+,https://xmlive.zeabur.app/yw/whyd?id=cctv5p
CCTV6,https://xmlive.zeabur.app/yw/whyd?id=cctv6
CCTV7,https://xmlive.zeabur.app/yw/whyd?id=cctv7
CCTV8,https://xmlive.zeabur.app/yw/whyd?id=cctv8
CCTV9,https://xmlive.zeabur.app/yw/whyd?id=cctv9
CCTV10,https://xmlive.zeabur.app/yw/whyd?id=cctv10
CCTV11,https://xmlive.zeabur.app/yw/whyd?id=cctv11
CCTV12,https://xmlive.zeabur.app/yw/whyd?id=cctv12
CCTV13,https://xmlive.zeabur.app/yw/whyd?id=cctv13
CCTV14,https://xmlive.zeabur.app/yw/whyd?id=cctv14
CCTV15,https://xmlive.zeabur.app/yw/whyd?id=cctv15
CCTV17,https://xmlive.zeabur.app/yw/whyd?id=cctv17
CCTV世界地理,https://xmlive.zeabur.app/yw/whyd?id=custom11
CCTV高尔夫网球,https://xmlive.zeabur.app/yw/whyd?id=custom10
北京卫视,https://xmlive.zeabur.app/yw/whyd?id=bjws
天津卫视,https://xmlive.zeabur.app/yw/whyd?id=tjws
重庆卫视,https://xmlive.zeabur.app/yw/whyd?id=cqws
黑龙江卫视,https://xmlive.zeabur.app/yw/whyd?id=hljws
吉林卫视,https://xmlive.zeabur.app/yw/whyd?id=jlws
辽宁卫视,https://xmlive.zeabur.app/yw/whyd?id=lnws
内蒙古卫视,https://xmlive.zeabur.app/yw/whyd?id=neimenggu
宁夏卫视,https://xmlive.zeabur.app/yw/whyd?id=linxws
甘肃卫视,https://xmlive.zeabur.app/yw/whyd?id=gsws
青海卫视,https://xmlive.zeabur.app/yw/whyd?id=qhws
陕西卫视,https://xmlive.zeabur.app/yw/whyd?id=shxws
河北卫视,https://xmlive.zeabur.app/yw/whyd?id=hebeiws
山西卫视,https://xmlive.zeabur.app/yw/whyd?id=sxws
山东卫视,https://xmlive.zeabur.app/yw/whyd?id=sdws
安徽卫视,https://xmlive.zeabur.app/yw/whyd?id=ahws
河南卫视,https://xmlive.zeabur.app/yw/whyd?id=hnws
湖北卫视,https://xmlive.zeabur.app/yw/whyd?id=hbws
湖南卫视,https://xmlive.zeabur.app/yw/whyd?id=hunanws
江西卫视,https://xmlive.zeabur.app/yw/whyd?id=jxws
江苏卫视,https://xmlive.zeabur.app/yw/whyd?id=jsws
浙江卫视,https://xmlive.zeabur.app/yw/whyd?id=zjws
东南卫视,https://xmlive.zeabur.app/yw/whyd?id=dnws
厦门卫视,https://xmlive.zeabur.app/yw/whyd?id=xmws
广东卫视,https://xmlive.zeabur.app/yw/whyd?id=gdws
深圳卫视,https://xmlive.zeabur.app/yw/whyd?id=szws
广西卫视,https://xmlive.zeabur.app/yw/whyd?id=gxws
云南卫视,https://xmlive.zeabur.app/yw/whyd?id=ynws
贵州卫视,https://xmlive.zeabur.app/yw/whyd?id=gzws
四川卫视,https://xmlive.zeabur.app/yw/whyd?id=scws
新疆卫视,https://xmlive.zeabur.app/yw/whyd?id=xjws
兵团卫视,https://xmlive.zeabur.app/yw/whyd?id=custom1
西藏卫视,https://xmlive.zeabur.app/yw/whyd?id=xzws
海南卫视,https://xmlive.zeabur.app/yw/whyd?id=custom12





湖南长沙移动,#genre#
望城综合,http://111.23.208.105:9999/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
花鼓戏,http://111.23.208.105:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://111.23.208.105:9999/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://111.23.208.105:9999/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://111.23.208.105:9999/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://111.23.208.105:9999/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://111.23.208.105:9999/tsfile/live/1069_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://111.23.208.105:9999/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://111.23.208.105:9999/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://111.23.208.105:9999/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
湖南国际,http://111.23.208.105:9999/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://111.23.208.105:9999/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
快乐购,http://111.23.208.105:9999/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育,http://111.23.208.105:9999/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
长沙新闻,http://111.23.208.105:9999/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
长沙政法,http://111.23.208.105:9999/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
长沙女性,http://111.23.208.105:9999/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
长沙影视,http://111.23.208.105:9999/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
茶频道高清,http://111.23.208.105:9999/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://111.23.208.105:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://111.23.208.105:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://111.23.208.105:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://111.23.208.105:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://111.23.208.105:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://111.23.208.105:9999/tsfile/live/0006_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://111.23.208.105:9999/tsfile/live/0007_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://111.23.208.105:9999/tsfile/live/0008_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://111.23.208.105:9999/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://111.23.208.105:9999/tsfile/live/0010_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://111.23.208.105:9999/tsfile/live/0011_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://111.23.208.105:9999/tsfile/live/0012_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://111.23.208.105:9999/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://111.23.208.105:9999/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://111.23.208.105:9999/tsfile/live/0015_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://111.23.208.105:9999/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.23.208.105:9999/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://111.23.208.105:9999/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN纪录,http://111.23.208.105:9999/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-1高清,http://111.23.208.105:9999/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://111.23.208.105:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://111.23.208.105:9999/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://111.23.208.105:9999/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://111.23.208.105:9999/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://111.23.208.105:9999/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视高清,http://111.23.208.105:9999/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://111.23.208.105:9999/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视高清,http://111.23.208.105:9999/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.23.208.105:9999/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://111.23.208.105:9999/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://111.23.208.105:9999/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://111.23.208.105:9999/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://111.23.208.105:9999/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://111.23.208.105:9999/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://111.23.208.105:9999/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://111.23.208.105:9999/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://111.23.208.105:9999/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://111.23.208.105:9999/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://111.23.208.105:9999/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://111.23.208.105:9999/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://111.23.208.105:9999/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://111.23.208.105:9999/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://111.23.208.105:9999/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://111.23.208.105:9999/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://111.23.208.105:9999/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.23.208.105:9999/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://111.23.208.105:9999/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://111.23.208.105:9999/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://111.23.208.105:9999/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://111.23.208.105:9999/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷少儿,http://111.23.208.105:9999/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
优漫卡通,http://111.23.208.105:9999/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.23.208.105:9999/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
南方卫视,http://111.23.208.105:9999/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://111.23.208.105:9999/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
山东教育,http://111.23.208.105:9999/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://111.23.208.105:9999/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://111.23.208.105:9999/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://111.23.208.105:9999/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
先锋乒羽,http://111.23.208.105:9999/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&authid=0
茶频道,http://111.23.208.105:9999/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
中国气象,http://111.23.208.105:9999/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0
梨园频道,http://111.23.208.105:9999/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道1,http://111.23.208.105:9999/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
测试频道2,http://111.23.208.105:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0






山东移动(移动),#genre#
CCTV-1,http://112.6.202.38:880/chs001.m3u8
CCTV-2,http://112.6.202.38:880/chs002.m3u8
CCTV-3,http://112.6.202.38:880/chs003.m3u8
CCTV-4,http://112.6.202.38:880/chs004.m3u8
CCTV-5,http://112.6.202.38:880/chs005.m3u8
CCTV-5+,http://112.6.202.38:880/chs006.m3u8
CCTV-6,http://112.6.202.38:880/chs007.m3u8
CCTV-7,http://112.6.202.38:880/chs008.m3u8
CCTV-8,http://112.6.202.38:880/chs009.m3u8
CCTV-9,http://112.6.202.38:880/chs010.m3u8
CCTV-10,http://112.6.202.38:880/chs011.m3u8
CCTV-11,http://112.6.202.38:880/chs012.m3u8
CCTV-12,http://112.6.202.38:880/chs013.m3u8
CCTV-13,http://112.6.202.38:880/chs014.m3u8
CCTV-14,http://112.6.202.38:880/chs015.m3u8
CCTV-15,http://112.6.202.38:880/chs016.m3u8
CCTV-17,http://112.6.202.38:880/chs017.m3u8
山东卫视,http://112.6.202.38:880/chs018.m3u8
湖南卫视,http://112.6.202.38:880/chs019.m3u8
浙江卫视,http://112.6.202.38:880/chs020.m3u8
东方卫视,http://112.6.202.38:880/chs021.m3u8
江苏卫视,http://112.6.202.38:880/chs022.m3u8
北京卫视,http://112.6.202.38:880/chs023.m3u8
安徽卫视,http://112.6.202.38:880/chs024.m3u8
辽宁卫视,http://112.6.202.38:880/chs025.m3u8
深圳卫视,http://112.6.202.38:880/chs026.m3u8
东南卫视,http://112.6.202.38:880/chs027.m3u8
湖北卫视,http://112.6.202.38:880/chs028.m3u8
云南卫视,http://112.6.202.38:880/chs029.m3u8
青海卫视,http://112.6.202.38:880/chs030.m3u8
天津卫视,http://112.6.202.38:880/chs031.m3u8
广东卫视,http://112.6.202.38:880/chs032.m3u8
黑龙江卫视,http://112.6.202.38:880/chs033.m3u8
重庆卫视,http://112.6.202.38:880/chs034.m3u8
贵州卫视,http://112.6.202.38:880/chs035.m3u8
江西卫视,http://112.6.202.38:880/chs036.m3u8
海南卫视,http://112.6.202.38:880/chs037.m3u8
四川卫视,http://112.6.202.38:880/chs038.m3u8
河南卫视,http://112.6.202.38:880/chs039.m3u8
吉林卫视,http://112.6.202.38:880/chs040.m3u8
甘肃卫视,http://112.6.202.38:880/chs041.m3u8
内蒙古卫视,http://112.6.202.38:880/chs042.m3u8
广西卫视,http://112.6.202.38:880/chs043.m3u8
吉林卫视,http://112.6.202.38:880/chs044.m3u8
陕西卫视,http://112.6.202.38:880/chs045.m3u8
宁夏卫视,http://112.6.202.38:880/chs046.m3u8
新疆卫视,http://112.6.202.38:880/chs047.m3u8
甘肃卫视,http://112.6.202.38:880/chs048.m3u8
厦门卫视,http://112.6.202.38:880/chs049.m3u8
延边卫视,http://112.6.202.38:880/chs051.m3u8
西藏卫视,http://112.6.202.38:880/chs052.m3u8
农林卫视,http://112.6.202.38:880/chs053.m3u8
兵团卫视,http://112.6.202.38:880/chs054.m3u8
山东齐鲁,http://112.6.202.38:880/chs055.m3u8
山东新闻,http://112.6.202.38:880/chs056.m3u8
山东体育休闲,http://112.6.202.38:880/chs057.m3u8
QTV-5,http://112.6.202.38:880/chs058.m3u8
QTV-4,http://112.6.202.38:880/chs060.m3u8
QTV-3,http://112.6.202.38:880/chs061.m3u8
山东教育卫视,http://112.6.202.38:880/chs062.m3u8
山东居家购物,http://112.6.202.38:880/chs063.m3u8
山东少儿,http://112.6.202.38:880/chs064.m3u8
山东农科,http://112.6.202.38:880/chs065.m3u8
山东综艺,http://112.6.202.38:880/chs068.m3u8
山东生活,http://112.6.202.38:880/chs069.m3u8
山东文旅,http://112.6.202.38:880/chs070.m3u8
QTV-2,http://112.6.202.38:880/chs071.m3u8
QTV-1,http://112.6.202.38:880/chs072.m3u8
优漫卡通,http://112.6.202.38:880/chs074.m3u8
北京卡酷少儿,http://112.6.202.38:880/chs075.m3u8
金鹰卡通,http://112.6.202.38:880/chs076.m3u8
河北卫视,http://112.6.202.38:880/chs077.m3u8


广西移动(移动),#genre#
CCTV1-综合,http://36.136.38.87:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://36.136.38.87:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://36.136.38.87:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://36.136.38.87:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://36.136.38.87:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://36.136.38.87:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://36.136.38.87:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://36.136.38.87:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://36.136.38.87:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://36.136.38.87:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://36.136.38.87:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://36.136.38.87:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://36.136.38.87:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://36.136.38.87:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://36.136.38.87:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://36.136.38.87:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://36.136.38.87:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://36.136.38.87:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://36.136.38.87:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://36.136.38.87:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://36.136.38.87:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://36.136.38.87:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://36.136.38.87:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://36.136.38.87:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://36.136.38.87:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://36.136.38.87:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://36.136.38.87:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://36.136.38.87:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://36.136.38.87:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://36.136.38.87:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://36.136.38.87:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://36.136.38.87:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://36.136.38.87:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://36.136.38.87:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://36.136.38.87:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://36.136.38.87:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://36.136.38.87:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
旅游卫视,http://36.136.38.87:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://36.136.38.87:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
广西综艺,http://36.136.38.87:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
广西影视,http://36.136.38.87:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
广西都市,http://36.136.38.87:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
广西新闻,http://36.136.38.87:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
大湾区卫视,http://36.136.38.87:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
